L,R,F,M
0,352,1,75000
0,71,1,94000
0,265,1,142000
0,253,1,136000
0,68,1,62000
0,267,1,40000
0,278,1,61000
0,302,1,72000
123,5,2,51000
0,328,1,57000
66,292,2,55000
0,260,1,975000
355,7,65,7953.846154
269,66,5,107600
91,83,2,37500
0,102,1,72000
0,356,1,58000
0,71,1,136000
282,9,12,177583.3333
0,270,1,125000
88,276,9,118444.4444
0,233,1,40000
0,275,1,26000
0,259,1,40000
0,91,1,252000
293,3,4,67500
0,200,1,257000
173,186,9,231000
6,265,2,26500
338,17,14,43857.14286
0,273,1,33000
0,204,1,54000
43,277,2,16500
0,198,1,370000
0,293,1,46000
66,20,2,48000
0,160,1,65000
0,167,1,36000
0,15,1,187500
84,32,3,74000
22,37,3,28666.66667
48,109,2,37000
16,312,2,39000
0,200,1,126000
0,95,1,20000
0,167,1,225000
113,86,2,124000
0,163,1,71000
259,50,9,161674.4444
27,152,2,66500
0,148,1,86000
0,342,1,33000
0,149,1,58000
147,10,24,198812.5
0,121,1,336000
315,33,6,468000
0,67,1,388000
269,22,2,96500
0,117,1,40000
0,340,1,34000
0,93,1,191000
178,166,3,90333.33333
0,172,1,67000
0,251,1,300000
0,287,1,115000
0,352,1,292500
0,293,1,98000
0,83,1,37000
42,73,2,141000
226,90,6,80666.66667
0,108,1,48000
191,156,3,107333.3333
0,47,2,48500
0,123,1,115000
2,323,2,73000
4,307,2,67500
0,190,1,214000
0,273,1,45000
0,285,1,631000
0,275,1,13000
0,269,1,26000
175,135,2,717000
0,265,1,98000
238,34,3,83333.33333
0,145,1,270000
0,275,2,1348500
0,359,1,800000
0,351,1,55000
0,275,1,99000
0,207,1,56000
0,208,1,425000
0,24,2,164100
0,286,1,405000
0,64,1,164000
0,311,1,250000
0,173,1,40000
84,12,4,327500
0,236,1,348000
0,262,1,53000
171,177,7,163571.4286
0,129,1,6000
0,139,1,346000
259,88,7,99000
0,230,1,83000
0,331,1,225000
0,185,1,85000
14,304,2,30500
0,75,1,52000
238,122,6,52500
333,2,6,227666.6667
0,347,1,320000
339,9,67,256000
347,8,0,45463.18182
128,71,0,272672.2222
0,110,1,478000
171,190,2,191000
0,256,1,94000
339,10,3,69333.33333
223,139,15,37866.66667
181,9,5,8600
0,165,1,180000
0,198,1,42000
26,272,4,47750
42,282,6,51666.66667
33,327,3,273666.6667
184,53,3,47000
352,3,8,64209.04255
0,300,1,7000
0,205,2,144300
0,340,1,61000
0,350,1,31000
9,275,2,117500
0,159,1,198000
0,358,1,42000
243,110,8,360118.75
0,268,1,48000
262,98,5,361900
276,24,4,119500
39,259,3,82116.66667
63,11,4,65200
75,253,3,79333.33333
0,201,1,138000
273,38,15,167199.4
0,348,1,123000
0,254,1,56000
148,170,9,103222.2222
317,25,18,155933.6111
252,40,8,741725
0,19,1,413000
0,354,1,32000
180,169,21,301217.3913
0,55,2,3625000
274,44,5,130600
10,9,4,45250
6,102,3,45666.66667
0,213,1,64000
75,158,2,61000
0,284,1,173000
187,152,5,127320
0,200,1,1177000
0,30,1,37000
0,305,1,39000
0,354,1,155000
0,47,1,593000
118,32,0,712500
57,29,13,6562.5
0,295,1,83000
0,138,1,185000
10,258,2,66000
309,42,5,520800
67,271,5,59000
0,282,1,420900
159,202,10,443700
1,251,2,53000
19,141,2,59000
154,105,2,138500
345,15,30,112961.6667
12,286,2,108500
0,271,1,42000
0,160,1,46000
0,282,1,346800
0,295,1,825000
0,316,1,62000
0,25,1,196000
0,46,1,231000
363,1,171,120538.0117
0,325,1,500000
0,127,1,101000
154,54,2,97000
0,356,1,61000
0,167,1,48000
0,299,1,165000
0,272,1,38000
0,195,1,152000
343,11,8,56750
66,59,3,96000
0,170,1,52000
0,285,1,32000
86,278,3,74000
0,157,1,270000
0,363,2,47000
0,173,1,64000
18,324,2,85000
0,211,1,554000
0,27,1,38000
0,320,1,88000
295,64,3,122333.3333
0,113,1,171000
0,211,2,99125
0,289,1,73000
0,292,1,61000
0,296,1,50000
70,88,3,41333.33333
0,193,1,655000
55,5,4,166050
359,2,12,123250
0,66,1,100000
0,341,1,92000
0,180,1,76800
0,354,1,74000
0,233,1,40000
358,4,1,248535.0467
0,260,1,64000
0,78,1,184105
0,198,1,40000
0,200,1,125000
0,288,1,350000
0,361,1,176000
0,138,1,36000
0,201,1,230000
119,83,3,143000
0,69,1,82000
155,7,31,196000
0,41,1,226000
0,2,1,172000
0,197,1,123000
80,269,5,39800
249,41,3,351666.6667
0,158,1,300000
227,53,3,315350.3333
5,21,2,608000
0,83,1,82000
0,33,1,64000
30,253,6,42500
228,76,4,96000
0,230,1,775000
91,108,3,130333.3333
58,99,2,14000
0,276,1,59000
354,3,19,92578.94737
0,167,1,36000
295,30,11,116090.9091
239,99,2,133000
0,6,1,40000
0,291,1,32000
0,321,1,84000
0,242,1,86000
342,4,8,190250
206,77,11,128363.6364
146,198,2,40000
0,8,1,9000
58,108,2,373500
0,319,1,12000
170,184,3,56666.66667
0,168,1,110000
0,232,1,134000
0,267,1,51000
0,272,1,7000
0,59,1,66000
147,193,3,76833.33333
0,109,1,80000
0,123,1,88560
0,124,1,33000
10,200,2,155500
0,118,1,147000
100,44,4,15000
0,254,1,66000
0,111,1,438000
0,326,1,546000
0,256,1,37000
329,11,8,36250
0,71,1,101000
0,109,1,376000
0,300,1,73000
0,338,1,375000
0,352,1,63000
0,149,1,121000
0,326,1,50000
0,242,1,425000
0,98,1,110000
0,49,1,560500
0,117,1,58000
0,104,1,323400
0,280,1,85000
14,132,2,36000
53,277,2,176000
0,57,1,208000
0,233,1,40000
0,184,1,393000
0,173,1,168000
0,350,1,34000
98,54,2,437500
0,269,1,64000
21,326,2,223000
151,172,28,61035.71429
0,307,1,250000
172,172,8,84625
0,116,1,213000
0,357,1,32000
0,288,1,63000
0,7,1,7000
72,202,3,95000
16,296,2,57500
0,271,1,46000
65,280,2,102000
95,268,4,77000
0,346,1,61000
0,300,1,258000
12,311,2,61150
334,13,9,214577.7778
0,298,1,30000
294,68,7,33714.28571
0,103,1,60000
31,181,2,75000
99,50,5,92400
314,46,28,79382.14286
0,309,1,30000
0,331,1,38000
23,135,3,56043.33333
308,43,5,191200
145,19,7,72428.57143
0,321,1,45000
0,234,1,300000
0,96,1,110000
25,74,2,144000
13,299,2,71500
0,40,1,40000
0,282,1,54000
0,81,1,75000
0,274,1,108000
298,55,9,56133.44444
0,263,1,48000
0,321,1,56000
159,186,9,277777.7778
0,286,1,145000
0,321,1,1250000
0,198,1,226000
0,82,1,58000
329,29,17,108602.0588
0,345,2,540500
0,260,1,131000
150,199,4,220000
0,52,1,516000
361,2,0,583091.7391
300,33,5,156200
0,33,1,200000
332,30,40,490098.4
0,67,1,136000
0,88,1,390000
192,140,8,425000
21,104,2,182000
140,4,2,94500
0,83,1,80000
326,6,9,142555.5556
3,199,2,43000
74,240,3,144666.6667
0,204,1,37000
0,204,1,100000
0,331,1,82000
128,232,3,71000
0,19,1,300000
145,85,3,198666.6667
0,164,1,48000
97,33,2,53500
41,193,3,61333.33333
0,335,1,86000
275,67,30,94783.33333
0,262,1,105000
0,278,1,227000
0,339,1,40000
0,145,1,64000
272,11,5,555200.2
318,12,25,217606.8
262,58,9,95605.55556
0,111,1,305152
0,318,1,56000
130,190,4,80100
0,95,1,79000
84,95,3,71333.33333
0,127,1,945000
0,351,1,14000
0,237,1,76800
348,12,12,188250
65,284,2,46500
56,260,2,66150
0,328,1,28000
79,265,2,234500
0,151,1,228150
0,53,1,37000
0,323,1,241000
160,132,2,35500
42,237,2,75500
0,229,1,140000
17,275,3,77666.66667
0,130,1,33000
0,163,1,198000
235,118,3,274166.6667
311,22,20,185157.5
94,50,3,115533.3333
5,51,2,20000
15,89,2,211500
230,90,3,82666.66667
0,79,1,66000
0,289,1,159250
0,283,1,242650
0,232,1,564300
266,53,4,89500
0,39,1,68000
0,349,1,215800
0,45,1,25000
164,117,3,59333.33333
139,20,4,168250
0,304,1,63000
0,238,1,40000
0,305,1,37000
188,150,7,151285.7143
0,168,1,141400
3,160,2,411322.5
0,268,1,70000
0,208,1,88000
0,179,1,1678000
0,32,1,40000
0,360,1,32000
0,94,1,62000
0,261,1,37000
0,254,1,208000
66,59,3,129653.3333
0,55,1,60000
246,115,15,63680
0,210,1,103000
0,165,1,94000
0,297,1,72000
82,281,7,209571.4286
220,72,6,54791.66667
39,300,2,530500
0,256,1,64000
0,96,1,541000
170,90,4,146750
0,90,1,64000
0,53,1,37000
0,341,1,45000
0,298,1,49000
0,237,1,52000
0,303,2,39200
175,5,33,99284.84848
66,142,2,88500
0,188,1,304000
155,124,9,89444.44444
0,354,1,134000
0,232,1,13000
0,136,1,37000
0,333,1,264000
80,255,2,55000
154,204,8,34875
0,50,1,172000
77,88,4,412500
0,308,1,30000
0,25,1,285000
0,360,1,73000
0,44,1,51000
0,136,1,95000
257,96,5,137200
0,332,1,55000
0,237,1,92000
0,314,1,75000
342,13,84,90595.2381
0,284,1,114000
0,255,1,64000
0,74,1,105600
29,282,6,41333.33333
68,269,4,36750
13,335,2,75000
126,130,2,208633.3333
0,152,1,270000
246,111,4,109750
0,231,1,40000
0,4,1,55000
256,18,7,38000
0,163,1,59000
327,17,30,81100
295,46,8,119812.5
0,76,1,300000
293,64,18,96888.88889
0,328,1,33000
0,208,1,72000
0,330,1,32000
0,326,1,126000
0,272,1,64000
0,326,1,50000
0,186,1,40000
0,265,1,40000
0,162,1,131000
0,92,1,121000
0,314,1,37500
9,177,2,128000
69,270,4,32500
0,146,1,67000
0,111,1,149000
3,2,2,74925.5
0,146,1,36000
0,336,1,225000
54,284,3,77666.66667
284,80,3,101433.3333
0,282,1,42000
351,2,70,90014.28571
322,13,11,183565.0909
0,251,1,53000
321,17,11,615000
14,11,2,905000
181,117,4,321125
0,326,1,88000
0,155,1,270000
3,275,2,83200
265,98,11,114772.7273
0,74,1,122000
0,345,1,72000
137,145,2,162000
296,11,8,110625
349,13,14,83206.28571
332,24,11,105454.5455
301,6,43,176767.4419
0,281,1,725000
31,325,3,375333.3333
333,9,7,125085.7143
254,87,6,55166.66667
135,3,12,207166.6667
0,3,1,77000
0,324,1,56000
0,25,1,84000
0,114,1,260000
0,13,1,84000
336,20,10,144900
315,39,1,71200
0,165,1,352000
3,168,3,93933.33333
0,283,1,60000
0,265,1,40000
0,233,1,260000
0,212,1,99000
327,27,12,111666.6667
6,285,2,96500
0,316,1,39000
11,277,2,39000
0,234,1,82000
245,109,15,58800
89,266,9,126888.8889
338,4,5,206640
154,51,4,61750
324,25,2,191500
158,53,6,185833.3333
335,6,35,357670.8333
0,36,1,300000
139,67,5,152400
99,198,2,116500
333,16,18,58611.11111
45,252,2,83500
0,338,1,435000
330,18,2,95500
1,328,2,530800
0,264,1,37000
0,305,1,34000
0,277,1,30000
343,10,9,171000
324,6,18,95196.38889
21,82,3,75833.33333
53,6,4,181750
300,61,9,54111.11111
346,8,47,154510.6383
141,12,3,126333.3333
0,192,1,165000
0,251,2,61000
0,53,1,22000
27,276,2,33500
73,283,2,47000
5,255,2,68000
0,186,1,495900
360,2,19,131156.8
329,34,12,55333.33333
0,349,1,30000
0,289,1,93000
0,307,1,66000
0,290,1,34000
0,123,1,72000
65,167,2,77000
37,270,3,112000
352,11,59,561118.6441
34,328,4,130250
0,107,1,148000
70,290,6,135666.6667
288,44,2,76000
59,270,2,38000
0,329,1,123750
0,83,1,143000
0,1,1,500000
42,51,2,170000
0,112,1,183000
0,253,1,20000
0,76,1,126000
191,172,3,35333.33333
0,118,1,268000
0,2,1,182000
158,121,4,220000
276,59,3,112000
0,258,1,205000
0,341,1,30000
99,109,4,10750
0,354,2,224500
0,339,1,32000
24,118,3,128513.3333
3,234,2,43000
7,18,2,64500
244,97,8,41000
0,213,2,60000
248,86,5,71600
130,5,4,288750
0,236,1,72000
0,351,1,81000
323,39,16,108375
355,8,21,40000
35,158,2,203500
0,281,1,44800
0,310,1,11000
93,85,2,161000
0,292,1,76000
242,97,4,162000
280,58,3,36666.66667
0,234,1,73000
0,351,1,165000
292,39,6,317833.3333
0,171,1,38000
0,164,1,36000
0,11,1,285000
0,54,1,202000
0,355,1,54000
0,192,1,13000
352,1,79,140037.9747
0,323,1,225000
0,332,1,75000
0,229,1,118000
0,95,1,148500
0,159,1,58000
91,19,3,200666.6667
343,8,55,63452.72727
59,93,3,45333.33333
0,282,1,57000
37,304,5,29600
317,25,9,114251.5556
0,346,1,64000
158,197,4,430712.5
259,73,5,39600
69,136,3,97466.66667
37,298,2,32000
0,356,1,47000
107,6,4,9500
0,39,1,74000
0,128,1,36000
0,67,1,72000
358,2,43,79209.30233
0,19,1,91000
0,81,1,643500
0,338,1,20000
0,326,1,40000
0,30,1,231000
45,188,3,136666.6667
199,118,13,177307.6923
26,313,3,387566.6667
9,257,3,59333.33333
0,134,1,450000
0,355,1,32000
0,324,1,30000
0,296,1,54000
0,148,1,54000
0,78,1,297000
0,78,1,500000
0,241,1,85000
15,192,2,188500
0,44,1,66000
0,172,1,196000
0,258,2,38000
257,68,6,54500
0,145,1,248625
14,276,2,32000
219,11,4,147000
0,81,1,69000
172,12,5,630000
0,199,2,309000
0,119,1,38000
15,340,2,30000
176,79,3,63333.33333
0,97,1,455000
0,308,1,475000
0,164,1,280000
0,163,1,33000
0,278,1,34000
199,158,8,423000
0,323,1,112000
0,110,1,37000
0,194,1,260000
0,282,1,170000
315,48,38,120609.2105
181,115,3,107000
169,180,2,95000
270,57,7,199978.5714
0,3,1,64000
74,48,2,40000
11,27,2,40000
0,276,1,425000
300,37,3,89000
0,303,1,140000
39,298,2,82000
3,166,2,198500
0,26,1,37000
358,4,28,58392.85714
0,291,1,110000
10,332,5,93950
0,24,1,198000
36,318,2,66000
0,2,1,172000
0,326,1,17000
0,286,1,499800
0,38,1,40000
0,188,1,130000
0,150,1,76050
37,319,2,67500
228,76,6,180833.3333
0,353,1,57000
0,77,1,56000
0,42,1,40000
0,177,1,54000
0,292,1,350000
0,260,1,41000
34,238,2,41500
30,318,3,78666.66667
0,92,1,405900
201,94,4,64250
43,318,2,74000
91,94,3,112000
0,285,1,70400
33,230,2,74000
0,252,1,180000
0,31,1,40000
0,61,1,138000
49,256,2,113500
154,27,12,247000
328,32,17,46764.70588
0,38,1,1485000
140,73,5,131400
11,55,2,33000
0,275,1,108000
0,20,1,91000
0,203,1,46000
0,116,1,72000
0,17,1,96000
0,72,1,72000
0,237,1,7000
0,354,1,325000
264,17,3,117000
0,342,1,553000
0,88,1,85000
0,131,1,248000
224,44,9,78111.11111
237,88,6,83333.33333
77,178,6,157166.6667
0,311,1,338000
0,331,1,72000
333,32,9,643805.5556
0,258,1,42000
0,275,1,239000
0,318,1,225000
0,6,1,58000
7,145,2,159500
